ID_HDC_G0,CTR_MN_NM,UC_NM_MN,GCPNT_LAT,GCPNT_LON,region,sub-region,intermediate-region
252,Mexico,Tapachula [MEX],14.895768173536618,-92.2685453797253,Americas,Latin America and the Caribbean,Central America
266,Guatemala,San Juan Ostuncalco [GTM],14.865150252713965,-91.61988978832767,Americas,Latin America and the Caribbean,Central America
4441,Sudan,Al Kidewa [SDN],14.857639419501883,33.27207042798959,Africa,Northern Africa,Northern Africa
5667,Yemen,Zarajah [YEM],14.86583306068246,44.377953427415726,Asia,Western Asia,Western Asia
4333,Sudan,N/A[SDN],14.85217705801669,32.22374796247274,Africa,Northern Africa,Northern Africa
5172,Eritrea,Addi K'Eyih [ERI],14.848080321521204,39.371099843528256,Africa,Sub-Saharan Africa,Eastern Africa
12804,Philippines,Dinalupihan [PHL],14.84971901255934,120.47419414561513,Asia,South-eastern Asia,South-eastern Asia
268,Guatemala,Quetzaltenango [GTM],14.855752415932768,-91.53083073735247,Americas,Latin America and the Caribbean,Central America
7295,India,Karwar [IND],14.83005503321697,74.14134937271102,Asia,Southern Asia,Southern Asia
8196,India,Jammalamadugu [IND],14.853141000327478,78.37142794276967,Asia,Southern Asia,Southern Asia
324,Guatemala,N/A[GTM],14.819403996115762,-89.38158074655158,Americas,Latin America and the Caribbean,Central America
7707,India,Kotturu [IND],14.823500525158089,76.22011237829689,Asia,Southern Asia,Southern Asia
12796,Philippines,Olongapo [PHL],14.841158316909974,120.29439597247271,Asia,South-eastern Asia,South-eastern Asia
5550,Yemen,Al-Marawiah [YEM],14.819403996115762,43.11210191943748,Asia,Western Asia,Western Asia
5748,Yemen,Bayhan Al-Qisab [YEM],14.80711458655552,45.71872274525655,Asia,Western Asia,Western Asia
5548,Yemen,Dayr Zawiyah [YEM],14.80711458655552,43.090214562910866,Asia,Western Asia,Western Asia
7544,India,Haveri [IND],14.797283250555873,75.40041383819771,Asia,Southern Asia,Southern Asia
322,Guatemala,Chiquimula [GTM],14.800038986653623,-89.54391002175444,Americas,Latin America and the Caribbean,Central America
1473,Senegal,Touba [SEN],14.851039072680859,-15.888034444929392,Africa,Sub-Saharan Africa,Western Africa
12819,Philippines,Malolos [PHL],14.824617765489887,120.7460621594068,Asia,South-eastern Asia,South-eastern Asia
4443,Sudan,Al Hasaheisa [SDN],14.792094558523932,33.284522218535535,Africa,Northern Africa,Northern Africa
5538,Yemen,Al-Hudaydah [YEM],14.799904923506908,42.96279642979948,Asia,Western Asia,Western Asia
10723,Thailand,Lop Buri [THA],14.800361060408772,100.6524958502107,Asia,South-eastern Asia,South-eastern Asia
12808,Philippines,Orani [PHL],14.769701799523107,120.5402554563722,Asia,South-eastern Asia,South-eastern Asia
1454,Senegal,Thies [SEN],14.78396549126765,-16.926746417397833,Africa,Sub-Saharan Africa,Western Africa
275,Guatemala,Solol  [GTM],14.774344128311808,-91.18187564930577,Americas,Latin America and the Caribbean,Central America
335,Honduras,Santa Rosa De Copan [HND],14.773320081939575,-88.77746960569658,Americas,Latin America and the Caribbean,Central America
7494,India,Hangal [IND],14.770247953884798,75.128732036084,Asia,Southern Asia,Southern Asia
7663,India,Harpanahalli [IND],14.783560628653426,75.98349345799876,Asia,Southern Asia,Southern Asia
12845,Philippines,Wawa [PHL],14.7574475988527,121.2336250136397,Asia,South-eastern Asia,South-eastern Asia
5644,Yemen,Dawran ad Daydah [YEM],14.770247953884798,44.1960683306509,Asia,Western Asia,Western Asia
2364,Niger,Keita [NER],14.755501970087415,5.776775352155956,Africa,Sub-Saharan Africa,Western Africa
4451,Sudan,Rufaca [SDN],14.762055693501534,33.36656682334452,Africa,Northern Africa,Northern Africa
5870,Yemen,As-Sahir [YEM],14.762965938831629,49.606573751229654,Asia,Western Asia,Western Asia
4444,Sudan,Rufaca [SDN],14.746581745512794,33.31733794323666,Africa,Northern Africa,Northern Africa
8253,India,Proddatur [IND],14.750657962127288,78.55758090961116,Asia,Southern Asia,Southern Asia
4717,Eritrea,Gwelej [ERI],14.737479619475023,36.72052479544366,Africa,Sub-Saharan Africa,Eastern Africa
297,Guatemala,San Pedro Ayampuc [GTM],14.739527585162303,-90.4445532536605,Americas,Latin America and the Caribbean,Central America
291,Guatemala,San Pedro Sacatepequez [GTM],14.724372813206083,-90.64896187519957,Americas,Latin America and the Caribbean,Central America
8296,India,Mydukur [IND],14.722734483591616,78.73549515294062,Asia,Southern Asia,Southern Asia
1452,Senegal,Dakar [SEN],14.742921161828658,-17.379475695487862,Africa,Sub-Saharan Africa,Western Africa
259,Guatemala,Coatepeque [GTM],14.704713168062264,-91.8659929538939,Americas,Latin America and the Caribbean,Central America
5184,Eritrea,Sen'Afe- [ERI],14.700617493806424,39.42588217227697,Africa,Sub-Saharan Africa,Eastern Africa
12844,Philippines,Lumbangan [PHL],14.704713168062264,121.19703516944023,Asia,South-eastern Asia,South-eastern Asia
1460,Senegal,Bambey [SEN],14.696521848892132,-16.45357131842542,Africa,Sub-Saharan Africa,Western Africa
5665,Yemen,Risaban [YEM],14.693245354080627,44.34733617909676,Asia,Western Asia,Western Asia
7847,India,Rayadurg [IND],14.701982715297754,76.8524190861743,Asia,Southern Asia,Southern Asia
12810,Philippines,Balanga [PHL],14.679194444870623,120.54667688136426,Asia,South-eastern Asia,South-eastern Asia
5621,Yemen,Bani Jahdab [YEM],14.671948595079805,43.90114911603697,Asia,Western Asia,Western Asia
283,Guatemala,Chimaltenango [GTM],14.662529127359582,-90.81794397866884,Americas,Latin America and the Caribbean,Central America
